exp,enz.type,enzyme,treat.type,treat,t.value,p.value,mean,yminus,yplus
exp1,enz,BG,WP,NWDP,-0.1729553,0.8736973,-4.510901,-87.51327,78.49147
exp1,enz,BG,WP,NWIP,0.03688638,0.9728928,0.9266858,-79.02499,80.87836
exp1,enz,BG,WP,SWNP,0.7938433,0.4852815,10.37868,-31.22851,51.98586
exp1,enz,BG,WP,SWDP,-0.8698045,0.44841,-17.04005,-79.3863,45.3062
exp1,enz,BG,WP,SWIP,-0.1760126,0.8714948,-3.489582,-66.58397,59.6048
exp1,enz,CB,WP,NWDP,0.4830359,0.6621287,17.2228,-96.24832,130.6939
exp1,enz,CB,WP,NWIP,0.435657,0.6925282,12.51041,-78.8773,103.8981
exp1,enz,CB,WP,SWNP,1.640742,0.1993869,20.02901,-18.82004,58.87806
exp1,enz,CB,WP,SWDP,0.1011215,0.9258335,2.899351,-88.34766,94.14636
exp1,enz,CB,WP,SWIP,0.9206623,0.4251256,20.60884,-50.62957,91.84725
exp1,enz,NAG,WP,NWDP,-1.084487,0.3575208,-24.43345,-96.13384,47.26693
exp1,enz,NAG,WP,NWIP,-0.8148274,0.4748434,-20.47203,-100.429,59.48493
exp1,enz,NAG,WP,SWNP,0.06109354,0.955127,1.713529,-87.54655,90.97361
exp1,enz,NAG,WP,SWDP,-1.711061,0.1855947,-28.78829,-82.33238,24.7558
exp1,enz,NAG,WP,SWIP,0.12761,0.9065311,5.09917,-122.0683,132.2666
exp1,enz,LAP,WP,NWDP,-0.008264796,0.9939246,-0.2412372,-93.13216,92.64968
exp1,enz,LAP,WP,NWIP,-0.1585098,0.8841243,-2.750819,-57.9798,52.47816
exp1,enz,LAP,WP,SWNP,0.5376611,0.6281354,16.73959,-82.34299,115.8222
exp1,enz,LAP,WP,SWDP,-0.3875387,0.7242172,-1.586404,-14.61386,11.44106
exp1,enz,LAP,WP,SWIP,0.7072081,0.5304231,15.52444,-54.33576,85.38465
exp1,enz,PHOS,WP,NWDP,-1.040914,0.3744282,-12.13016,-49.21639,24.95608
exp1,enz,PHOS,WP,NWIP,-0.1115047,0.9182579,-1.084192,-32.02801,29.85963
exp1,enz,PHOS,WP,SWNP,0.4585011,0.677768,4.315809,-25.64012,34.27174
exp1,enz,PHOS,WP,SWDP,-1.126741,0.34184,-5.803349,-22.19473,10.58803
exp1,enz,PHOS,WP,SWIP,2.054895,0.1321415,15.70833,-8.619392,40.03605
exp1,enz,POX,WP,NWDP,-1.51998,0.2258424,-19.43863,-60.13811,21.26085
exp1,enz,POX,WP,NWIP,4.040319,0.02728192,23.29306,4.945766,41.64035
exp1,enz,POX,WP,SWNP,-1.778852,0.1733174,-20.23526,-56.43703,15.96652
exp1,enz,POX,WP,SWDP,-0.6465892,0.5639571,-12.52783,-74.18855,49.13288
exp1,enz,POX,WP,SWIP,1.744141,0.1794836,10.08539,-8.316909,28.48769
exp1,enz,PER,WP,NWDP,0.5972503,0.6109517,36.3109,-225.2766,297.8984
exp1,enz,PER,WP,NWIP,-0.2334659,0.8371193,-4.364114,-84.79241,76.06419
exp1,enz,PER,WP,SWNP,0.7957227,0.5096322,52.38517,-230.8733,335.6436
exp1,enz,PER,WP,SWDP,0.9977738,0.4235076,39.67649,-131.4186,210.7716
exp1,enz,PER,WP,SWIP,-0.5924603,0.6136045,-14.53184,-120.0671,91.00344
exp1,spe,BGmbc,WP,NWDP,0.3103553,0.7766026,9.792674,-90.62338,110.2087
exp1,spe,BGmbc,WP,NWIP,-0.6732857,0.5489927,-12.89748,-73.86053,48.06556
exp1,spe,BGmbc,WP,SWNP,1.150093,0.3334687,21.34896,-37.72618,80.4241
exp1,spe,BGmbc,WP,SWDP,-0.04475393,0.9671158,-0.7507061,-54.13332,52.63191
exp1,spe,BGmbc,WP,SWIP,-0.3620167,0.7413375,-7.400719,-72.45957,57.65813
exp1,spe,CBmbc,WP,NWDP,0.8051759,0.4796203,35.37282,-104.4378,175.1834
exp1,spe,CBmbc,WP,NWIP,-0.09475167,0.9304861,-2.242306,-77.55517,73.07055
exp1,spe,CBmbc,WP,SWNP,1.847818,0.161775,31.72561,-22.91453,86.36574
exp1,spe,CBmbc,WP,SWDP,0.8074752,0.4784786,22.13903,-65.11601,109.3941
exp1,spe,CBmbc,WP,SWIP,0.7042809,0.5320057,17.19371,-60.49982,94.88725
exp1,spe,NAGmbc,WP,NWDP,-0.4523251,0.6817399,-12.53121,-100.6976,75.63523
exp1,spe,NAGmbc,WP,NWIP,-1.01555,0.3846224,-25.00793,-103.3758,53.35989
exp1,spe,NAGmbc,WP,SWNP,0.3929345,0.7206247,13.97761,-99.22951,127.1847
exp1,spe,NAGmbc,WP,SWDP,-0.386184,0.7251207,-8.550729,-79.01517,61.91371
exp1,spe,NAGmbc,WP,SWIP,0.1529889,0.888118,5.964855,-118.115,130.0447
exp1,spe,LAPmbc,WP,NWDP,0.4826284,0.6623867,17.96738,-100.5093,136.4441
exp1,spe,LAPmbc,WP,NWIP,-0.6692216,0.551251,-12.03382,-69.26001,45.19236
exp1,spe,LAPmbc,WP,SWNP,0.8180631,0.4732511,33.62144,-97.17339,164.4163
exp1,spe,LAPmbc,WP,SWDP,2.095682,0.1270867,24.04225,-12.46766,60.55216
exp1,spe,LAPmbc,WP,SWIP,0.5411406,0.6260099,13.2037,-64.44724,90.85465
exp1,spe,APmbc,WP,NWDP,0.1781579,0.8699503,3.008193,-50.72736,56.74374
exp1,spe,APmbc,WP,NWIP,-0.7768393,0.4938816,-10.03579,-51.149,31.07742
exp1,spe,APmbc,WP,SWNP,0.9190863,0.4258304,17.26734,-42.5229,77.05759
exp1,spe,APmbc,WP,SWDP,3.247813,0.04756827,17.35131,0.3492212,34.35339
exp1,spe,APmbc,WP,SWIP,0.9087424,0.430483,11.12567,-27.8368,50.08813
exp1,spe,POXmbc,WP,NWDP,-0.6035403,0.5887291,-7.935517,-49.77921,33.90817
exp1,spe,POXmbc,WP,NWIP,1.142953,0.3360062,10.58722,-18.8919,40.06634
exp1,spe,POXmbc,WP,SWNP,-1.056998,0.3680989,-13.49256,-54.11644,27.13132
exp1,spe,POXmbc,WP,SWDP,0.3972589,0.7177525,8.826348,-61.88164,79.53433
exp1,spe,POXmbc,WP,SWIP,0.5468902,0.6225083,5.261909,-25.35803,35.88184
exp1,spe,PERmbc,WP,NWDP,0.7930939,0.5108642,60.51324,-267.7801,388.8066
exp1,spe,PERmbc,WP,NWIP,-0.7829947,0.5156243,-16.26178,-105.6223,73.0987
exp1,spe,PERmbc,WP,SWNP,0.9083894,0.4595573,74.88174,-279.8011,429.5645
exp1,spe,PERmbc,WP,SWDP,1.461483,0.2813673,78.20919,-152.0412,308.4596
exp1,spe,PERmbc,WP,SWIP,-0.9812716,0.4299261,-22.7741,-122.6333,77.08515
exp1,sto,C:N,WP,NWDP,-0.006886932,0.9949374,-0.01722651,-7.977583,7.94313
exp1,sto,C:N,WP,NWIP,0.09515479,0.9301916,0.4246561,-13.77794,14.62725
exp1,sto,C:N,WP,SWNP,0.1953187,0.8576237,0.6929201,-10.59725,11.98309
exp1,sto,C:N,WP,SWDP,-0.8423048,0.4614671,-4.133784,-19.75229,11.48473
exp1,sto,C:N,WP,SWIP,-1.070229,0.3629701,-2.854741,-11.34364,5.634156
exp1,sto,C:P,WP,NWDP,0.1103328,0.9191124,0.3456841,-9.625247,10.31662
exp1,sto,C:P,WP,NWIP,-0.1147554,0.9158886,-0.561827,-16.14265,15.019
exp1,sto,C:P,WP,SWNP,0.6912696,0.5390857,1.156998,-4.169555,6.483551
exp1,sto,C:P,WP,SWDP,-0.9552683,0.4099153,-3.781073,-16.3776,8.815454
exp1,sto,C:P,WP,SWIP,-1.550551,0.2187942,-3.906493,-11.92442,4.111434
exp1,sto,N:P,WP,NWDP,0.1456547,0.8934301,0.4516348,-9.416251,10.31952
exp1,sto,N:P,WP,NWIP,-0.5257504,0.6354479,-0.9993873,-7.048829,5.050055
exp1,sto,N:P,WP,SWNP,0.226948,0.8350498,0.775019,-10.09292,11.64296
exp1,sto,N:P,WP,SWDP,0.3526549,0.7476689,0.541253,-4.343149,5.425655
exp1,sto,N:P,WP,SWIP,-0.2707939,0.8041121,-0.8995935,-11.47187,9.672684
exp2,enz,BG,NutA,N25,-1.198771,0.296779,-11.43638,-37.92392,15.05115
exp2,enz,BG,NutA,N50,-0.7496071,0.4951715,-13.57447,-63.8525,36.70356
exp2,enz,BG,NutA,N100,0.3360028,0.7537546,6.80996,-49.46184,63.08176
exp2,enz,BG,NutA,P50,-1.643332,0.1756591,-17.7931,-47.85493,12.26872
exp2,enz,BG,NutA,N100P50,-1.14663,0.3154617,-19.5135,-66.76342,27.73643
exp2,enz,CB,NutA,N25,-4.681502,0.009437162,-25.44445,-40.53471,-10.35418
exp2,enz,CB,NutA,N50,-0.7642357,0.4873205,-20.30578,-94.07607,53.46451
exp2,enz,CB,NutA,N100,0.3383005,0.7521479,9.330804,-67.24747,85.90908
exp2,enz,CB,NutA,P50,-3.500122,0.02489342,-31.03048,-55.64517,-6.415785
exp2,enz,CB,NutA,N100P50,-1.779585,0.1497568,-31.72798,-81.22886,17.7729
exp2,enz,NAG,NutA,N25,-0.2520515,0.8134223,-3.242857,-38.96419,32.47847
exp2,enz,NAG,NutA,N50,0.3603426,0.7368131,5.168459,-34.65459,44.99151
exp2,enz,NAG,NutA,N100,0.7455723,0.4973537,22.59896,-61.55756,106.7555
exp2,enz,NAG,NutA,P50,-0.2788669,0.7941706,-3.593177,-39.36745,32.18109
exp2,enz,NAG,NutA,N100P50,-0.2088813,0.8447469,-3.795447,-54.24444,46.65354
exp2,enz,LAP,NutA,N25,-0.2702866,0.8003123,-4.344162,-48.96837,40.28005
exp2,enz,LAP,NutA,N50,-0.7921204,0.4726187,-13.27701,-59.814,33.25997
exp2,enz,LAP,NutA,N100,0.747631,0.4962394,15.05188,-40.84564,70.94941
exp2,enz,LAP,NutA,P50,0.2366739,0.824536,2.964757,-31.8151,37.74462
exp2,enz,LAP,NutA,N100P50,-0.3641317,0.7341915,-4.77092,-41.14841,31.60657
exp2,enz,PHOS,NutA,N25,0.004321724,0.9967587,0.06945081,-44.54848,44.68738
exp2,enz,PHOS,NutA,N50,0.07328068,0.9451009,1.58511,-58.47125,61.64147
exp2,enz,PHOS,NutA,N100,1.443379,0.222397,25.67803,-23.71555,75.07161
exp2,enz,PHOS,NutA,P50,0.2855493,0.7893998,5.398296,-47.09027,57.88686
exp2,enz,PHOS,NutA,N100P50,-0.02163018,0.9837789,-0.2862714,-37.03202,36.45947
exp2,enz,POX,NutA,N25,-1.037891,0.3579398,-6.820974,-25.06764,11.42569
exp2,enz,POX,NutA,N50,-0.6042127,0.5782977,-3.370926,-18.86082,12.11897
exp2,enz,POX,NutA,N100,0.1272359,0.9048936,0.9639465,-20.07057,21.99846
exp2,enz,POX,NutA,P50,0.1844941,0.8626019,1.445127,-20.30253,23.19279
exp2,enz,POX,NutA,N100P50,0.02990092,0.9775785,0.2899061,-26.62928,27.20909
exp2,enz,PER,NutA,N25,-2.15361,0.09758566,-32.74427,-74.95835,9.469815
exp2,enz,PER,NutA,N50,-1.792847,0.147461,-32.27343,-82.25281,17.70596
exp2,enz,PER,NutA,N100,-3.16234,0.0341074,-23.35032,-43.85124,-2.849397
exp2,enz,PER,NutA,P50,0.8368257,0.4497722,12.18153,-28.23471,52.59777
exp2,enz,PER,NutA,N100P50,1.220175,0.2894142,25.22179,-32.16911,82.61268
exp2,spe,BGmbc,NutA,N25,-0.1673958,0.8751807,-5.93244,-104.3286,92.46368
exp2,spe,BGmbc,NutA,N50,-3.40061,0.02726199,-42.45051,-77.10945,-7.791581
exp2,spe,BGmbc,NutA,N100,0.4960625,0.6539173,16.34944,-88.53902,121.2379
exp2,spe,BGmbc,NutA,P50,-0.8906695,0.423438,-21.2588,-87.52791,45.01032
exp2,spe,BGmbc,NutA,N100P50,-1.079979,0.3409211,-32.91435,-117.5316,51.70289
exp2,spe,CBmbc,NutA,N25,-1.157232,0.3115763,-25.8004,-87.70103,36.10023
exp2,spe,CBmbc,NutA,N50,-4.777704,0.008790303,-51.34725,-81.18645,-21.50806
exp2,spe,CBmbc,NutA,N100,0.5575112,0.616075,22.81069,-107.3998,153.0212
exp2,spe,CBmbc,NutA,P50,-2.208353,0.09179433,-36.53745,-82.47405,9.399151
exp2,spe,CBmbc,NutA,N100P50,-1.462184,0.2175072,-42.56069,-123.3764,38.25501
exp2,spe,NAGmbc,NutA,N25,-0.08097594,0.9393509,-2.437501,-86.01277,81.13777
exp2,spe,NAGmbc,NutA,N50,-1.749108,0.1551778,-28.04399,-72.55959,16.47161
exp2,spe,NAGmbc,NutA,N100,0.6680261,0.5519166,45.13274,-169.8776,260.1431
exp2,spe,NAGmbc,NutA,P50,0.0206171,0.9845385,0.8219751,-109.871,111.515
exp2,spe,NAGmbc,NutA,N100P50,-0.9507004,0.3955915,-26.17458,-102.6154,50.2662
exp2,spe,LAPmbc,NutA,N25,-0.3767038,0.725525,-9.219556,-77.17106,58.73195
exp2,spe,LAPmbc,NutA,N50,-2.230075,0.08960342,-38.44722,-86.31403,9.419592
exp2,spe,LAPmbc,NutA,N100,0.7893995,0.4875168,27.81335,-84.31555,139.9422
exp2,spe,LAPmbc,NutA,P50,-0.1170998,0.9124251,-3.471034,-85.76948,78.82742
exp2,spe,LAPmbc,NutA,N100P50,-1.211451,0.2923947,-28.69237,-94.45052,37.06577
exp2,spe,APmbc,NutA,N25,0.2058666,0.8469483,9.741699,-121.6409,141.1243
exp2,spe,APmbc,NutA,N50,-0.6189763,0.5694426,-20.38349,-111.8145,71.04754
exp2,spe,APmbc,NutA,N100,0.7524719,0.5064273,31.59106,-102.0177,165.1998
exp2,spe,APmbc,NutA,P50,0.270513,0.80015,14.74813,-136.6211,166.1174
exp2,spe,APmbc,NutA,N100P50,-2.050497,0.1096284,-31.77887,-74.80859,11.25084
exp2,spe,POXmbc,NutA,N25,-0.4135826,0.7003922,-10.03027,-77.36508,57.30454
exp2,spe,POXmbc,NutA,N50,-1.804476,0.1454789,-30.36,-77.07322,16.35322
exp2,spe,POXmbc,NutA,N100,0.6479685,0.5631765,29.70637,-116.1941,175.6069
exp2,spe,POXmbc,NutA,P50,-0.1481688,0.8893787,-3.800816,-75.02199,67.42035
exp2,spe,POXmbc,NutA,N100P50,-0.8750344,0.430952,-22.45211,-93.69165,48.78743
exp2,spe,PERmbc,NutA,N25,-2.033932,0.1117118,-35.84211,-84.76884,13.08462
exp2,spe,PERmbc,NutA,N50,-1.735892,0.157593,-43.60575,-113.3503,26.13877
exp2,spe,PERmbc,NutA,N100,-0.04711813,0.9653803,-1.973698,-135.2809,131.3335
exp2,spe,PERmbc,NutA,P50,0.321808,0.7637135,15.91257,-121.3754,153.2005
exp2,spe,PERmbc,NutA,N100P50,-0.2789785,0.7940908,-8.082346,-88.51933,72.35464
exp2,sto,C:N,NutA,N25,-0.177394,0.8678196,-0.5439743,-9.057875,7.969926
exp2,sto,C:N,NutA,N50,-0.1928039,0.8565061,-0.2904761,-4.473435,3.892483
exp2,sto,C:N,NutA,N100,-1.746712,0.1556128,-1.483117,-3.840571,0.8743373
exp2,sto,C:N,NutA,P50,-1.701196,0.1641247,-4.028491,-10.60321,2.546227
exp2,sto,C:N,NutA,N100P50,-2.284289,0.08438648,-3.841974,-8.511711,0.8277631
exp2,sto,C:P,NutA,N25,-0.9083716,0.4150614,-1.712806,-6.948012,3.5224
exp2,sto,C:P,NutA,N50,-0.6636874,0.5431887,-2.675623,-13.86872,8.517478
exp2,sto,C:P,NutA,N100,-1.090965,0.3366001,-2.785663,-9.875019,4.303693
exp2,sto,C:P,NutA,P50,-1.370164,0.2425038,-4.232108,-12.80788,4.343663
exp2,sto,C:P,NutA,N100P50,-0.8884359,0.4245048,-4.469337,-18.43643,9.497758
exp2,sto,N:P,NutA,N25,-0.3775668,0.7249319,-0.9308942,-7.776244,5.914455
exp2,sto,N:P,NutA,N50,-0.7137546,0.5148141,-2.440527,-11.93397,7.052918
exp2,sto,N:P,NutA,N100,-0.4936524,0.6474288,-1.301105,-8.618896,6.016687
exp2,sto,N:P,NutA,P50,0.001898414,0.9985762,0.007372767,-10.77535,10.7901
exp2,sto,N:P,NutA,N100P50,-0.2244434,0.833411,-0.8367582,-11.18776,9.514239
